id,nombre_cliente,email,producto,precio,cantidad,fecha_compra
TXN-1137,Marta,pedro19@gmail.com,Laptop Pro,558.27,4,2026-01-24 00:00:00
NULL,Marta123!!,usuario@sinpunto,Monitor 4K,GRATIS,999999,2026-15-99
!!!,Elena123!!,usuario@sinpunto,Teclado Mecánico,GRATIS, ,ERROR
ERR-#96,Luis123!!,error_mail,Cable HDMI,GRATIS, ,ERROR
TXN-1023,Pedro,marta76@gmail.com,Mouse Wireless,821.21,3,2026-01-17 00:00:00
  ,Marta123!!,NaN,Cable HDMI,"999,99€",N/A,MAÑANA
TXN-1056,Ana,pedro12@gmail.com,Headset Gamer,202.26,2,2026-01-31 00:00:00
TXN-1050,Carlos,maria77@gmail.com,Cable HDMI,140.1,2,2026-01-08 00:00:00
ERR-#85,Pedro123!!,error_mail,Laptop Pro,"999,99€",-1,Ayer
!!!,Juan123!!,---,Teclado Mecánico,N/A,None,Ayer
TXN-1448,Juan,juan36@gmail.com,Headset Gamer,255.76,5,2026-01-03 00:00:00
TXN-1170,Juan,maria68@gmail.com,Mouse Wireless,571.74,4,2026-01-06 00:00:00
  ,Carlos123!!,12345,Laptop Pro,GRATIS,999999,MAÑANA
TXN-1112,Carlos,pedro75@gmail.com,Monitor 4K,712.77,2,2026-01-26 00:00:00
ERR-#17,Marta123!!,12345,Laptop Pro,N/A,-1,MAÑANA
TXN-1217,Marta,elena26@gmail.com,Headset Gamer,538.88,2,2026-01-06 00:00:00
TXN-1433,Ana,elena43@gmail.com,Mouse Wireless,111.16,1,2026-01-21 00:00:00
  ,Juan123!!,NaN,Monitor 4K,0.00$,999999,ERROR
TXN-1106,Marta,carlos88@gmail.com,Mouse Wireless,427.0,4,2026-01-17 00:00:00
ERR-#55,Juan123!!,error_mail,Cable HDMI,"999,99€", ,ERROR
TXN-1486,Juan,pedro18@gmail.com,Mouse Wireless,132.89,4,2026-01-16 00:00:00
TXN-1197,Marta,carlos56@gmail.com,Headset Gamer,788.5,4,2026-01-29 00:00:00
TXN-1339,Pedro,pedro63@gmail.com,Headset Gamer,179.6,1,2026-01-05 00:00:00
!!!,Pedro123!!,error_mail,Laptop Pro,GRATIS,-1,MAÑANA
TXN-1291,Elena,ana72@gmail.com,Headset Gamer,906.34,5,2026-01-27 00:00:00
ERR-#92,Carlos123!!,12345,Teclado Mecánico,N/A,N/A,2026-15-99
TXN-1119,Luis,elena27@gmail.com,Mouse Wireless,795.93,3,2026-01-08 00:00:00
!!!,Pedro123!!,12345,Cable HDMI,GRATIS,None,Ayer
  ,Carlos123!!,usuario@sinpunto,Teclado Mecánico,BBDD_ERR,None,MAÑANA
  ,Pedro123!!,---,Mouse Wireless,N/A,999999,MAÑANA
TXN-1492,Ana,carlos99@gmail.com,Laptop Pro,916.58,1,2026-01-25 00:00:00
NULL,Pedro123!!,12345,Teclado Mecánico,BBDD_ERR,-1,MAÑANA
NULL,Marta123!!,---,Laptop Pro,GRATIS,None,2026-15-99
TXN-1020,Carlos,maria52@gmail.com,Monitor 4K,420.05,5,2026-01-20 00:00:00
TXN-1488,Maria,juan48@gmail.com,Cable HDMI,588.99,1,2026-01-28 00:00:00
!!!,Maria123!!,usuario@sinpunto,Monitor 4K,"999,99€",999999,MAÑANA
TXN-1311,Carlos,luis58@gmail.com,Monitor 4K,786.65,3,2026-01-18 00:00:00
!!!,Maria123!!,error_mail,Teclado Mecánico,BBDD_ERR, ,ERROR
TXN-1482,Maria,luis70@gmail.com,Monitor 4K,461.41,3,2026-01-10 00:00:00
TXN-1224,Pedro,marta73@gmail.com,Laptop Pro,372.24,5,2026-01-10 00:00:00
  ,Maria123!!,error_mail,Mouse Wireless,GRATIS, ,2026-15-99
TXN-1382,Maria,marta98@gmail.com,Teclado Mecánico,319.34,3,2026-01-11 00:00:00
!!!,Ana123!!,usuario@sinpunto,Teclado Mecánico,N/A,N/A,Ayer
NULL,Juan123!!,12345,Laptop Pro,BBDD_ERR,999999,2026-15-99
!!!,Ana123!!,usuario@sinpunto,Headset Gamer,"999,99€", ,00/00/0000
TXN-1130,Ana,elena90@gmail.com,Mouse Wireless,726.88,2,2026-01-07 00:00:00
TXN-1037,Carlos,marta73@gmail.com,Laptop Pro,598.23,2,2026-01-31 00:00:00
,,,,,,
TXN-1396,Pedro,marta64@gmail.com,Teclado Mecánico,248.88,5,2026-01-19 00:00:00
TXN-1086,Luis,marta95@gmail.com,Laptop Pro,471.06,1,2026-01-13 00:00:00
NULL,Pedro123!!,12345,Teclado Mecánico,GRATIS, ,MAÑANA
NULL,Juan123!!,error_mail,Monitor 4K,"999,99€",999999,MAÑANA
TXN-1231,Juan,carlos92@gmail.com,Headset Gamer,445.61,2,2026-01-07 00:00:00
TXN-1321,Luis,juan17@gmail.com,Cable HDMI,442.72,2,2026-01-17 00:00:00
!!!,Marta123!!,12345,Monitor 4K,N/A,999999,2026-15-99
TXN-1361,Luis,pedro73@gmail.com,Monitor 4K,60.76,5,2026-01-15 00:00:00
  ,Carlos123!!,12345,Mouse Wireless,GRATIS,-1,00/00/0000
NULL,Maria123!!,NaN,Cable HDMI,"999,99€",999999,MAÑANA
TXN-1203,Carlos,juan95@gmail.com,Cable HDMI,219.2,1,2026-01-26 00:00:00
TXN-1168,Juan,marta46@gmail.com,Teclado Mecánico,89.77,4,2026-01-24 00:00:00
TXN-1062,Ana,maria38@gmail.com,Laptop Pro,368.39,2,2026-01-04 00:00:00
NULL,Juan123!!,usuario@sinpunto,Mouse Wireless,N/A,N/A,Ayer
  ,Juan123!!,usuario@sinpunto,Mouse Wireless,N/A, ,2026-15-99
TXN-1480,Maria,juan85@gmail.com,Teclado Mecánico,553.75,2,2026-01-22 00:00:00
  ,Marta123!!,usuario@sinpunto,Monitor 4K,BBDD_ERR, ,ERROR
TXN-1269,Elena,luis77@gmail.com,Cable HDMI,332.52,3,2026-01-22 00:00:00
TXN-1429,Marta,ana57@gmail.com,Teclado Mecánico,91.25,4,2026-01-31 00:00:00
TXN-1135,Luis,pedro70@gmail.com,Headset Gamer,293.73,3,2026-01-17 00:00:00
ERR-#71,Carlos123!!,usuario@sinpunto,Teclado Mecánico,BBDD_ERR, ,00/00/0000
ERR-#67,Luis123!!,usuario@sinpunto,Monitor 4K,0.00$, ,Ayer
TXN-1047,Luis,marta62@gmail.com,Mouse Wireless,701.74,1,2026-01-04 00:00:00
TXN-1325,Juan,ana68@gmail.com,Teclado Mecánico,900.24,5,2026-01-25 00:00:00
  ,Carlos123!!,12345,Mouse Wireless,BBDD_ERR,N/A,MAÑANA
TXN-1136,Ana,carlos76@gmail.com,Teclado Mecánico,215.86,4,2026-01-05 00:00:00
NULL,Carlos123!!,12345,Teclado Mecánico,N/A, ,Ayer
TXN-1412,Ana,marta43@gmail.com,Teclado Mecánico,772.87,3,2026-01-29 00:00:00
TXN-1402,Luis,pedro29@gmail.com,Teclado Mecánico,988.82,2,2026-01-20 00:00:00
ERR-#41,Maria123!!,usuario@sinpunto,Laptop Pro,N/A,-1,MAÑANA
TXN-1129,Carlos,ana50@gmail.com,Teclado Mecánico,168.97,3,2026-01-21 00:00:00
TXN-1200,Juan,luis90@gmail.com,Cable HDMI,669.36,3,2026-01-21 00:00:00
ERR-#71,Juan123!!,NaN,Mouse Wireless,N/A,N/A,ERROR
!!!,Elena123!!,NaN,Cable HDMI,"999,99€",999999,ERROR
NULL,Luis123!!,usuario@sinpunto,Laptop Pro,N/A,N/A,MAÑANA
,,,,,,
ERR-#96,Ana123!!,error_mail,Laptop Pro,N/A,-1,Ayer
  ,Luis123!!,error_mail,Mouse Wireless,BBDD_ERR,999999,ERROR
!!!,Maria123!!,---,Mouse Wireless,BBDD_ERR,-1,Ayer
TXN-1163,Juan,ana20@gmail.com,Mouse Wireless,319.49,3,2026-01-05 00:00:00
NULL,Juan123!!,12345,Laptop Pro,N/A,999999,ERROR
TXN-1320,Carlos,marta86@gmail.com,Monitor 4K,816.59,5,2026-01-02 00:00:00
TXN-1284,Carlos,luis30@gmail.com,Teclado Mecánico,707.27,5,2026-01-01 00:00:00
TXN-1003,Ana,elena95@gmail.com,Headset Gamer,480.4,2,2026-01-26 00:00:00
NULL,Carlos123!!,12345,Cable HDMI,N/A, ,Ayer
NULL,Luis123!!,error_mail,Mouse Wireless,"999,99€",999999,ERROR
!!!,Maria123!!,---,Teclado Mecánico,N/A,999999,00/00/0000
TXN-1121,Pedro,maria37@gmail.com,Mouse Wireless,906.08,3,2026-01-12 00:00:00
  ,Marta123!!,usuario@sinpunto,Laptop Pro,"999,99€",999999,00/00/0000
  ,Ana123!!,---,Headset Gamer,"999,99€",N/A,Ayer
NULL,Luis123!!,error_mail,Mouse Wireless,"999,99€",-1,MAÑANA
TXN-1177,Pedro,juan70@gmail.com,Monitor 4K,353.12,2,2026-01-21 00:00:00
TXN-1043,Marta,elena35@gmail.com,Mouse Wireless,775.18,1,2026-01-13 00:00:00
NULL,Ana123!!,usuario@sinpunto,Monitor 4K,0.00$,None,ERROR
TXN-1417,Pedro,carlos95@gmail.com,Teclado Mecánico,309.59,4,2026-01-30 00:00:00
ERR-#92,Ana123!!,error_mail,Monitor 4K,0.00$,999999,00/00/0000
ERR-#55,Luis123!!,NaN,Headset Gamer,BBDD_ERR, ,MAÑANA
TXN-1445,Luis,juan40@gmail.com,Mouse Wireless,945.26,4,2026-01-28 00:00:00
TXN-1018,Carlos,maria78@gmail.com,Headset Gamer,531.8,1,2026-01-02 00:00:00
TXN-1246,Carlos,marta43@gmail.com,Teclado Mecánico,812.93,4,2026-01-11 00:00:00
!!!,Luis123!!,12345,Monitor 4K,GRATIS, ,ERROR
TXN-1465,Luis,pedro17@gmail.com,Mouse Wireless,361.37,3,2026-01-27 00:00:00
,,,,,,
TXN-1466,Luis,luis41@gmail.com,Teclado Mecánico,179.59,5,2026-01-15 00:00:00
TXN-1281,Carlos,carlos84@gmail.com,Cable HDMI,276.14,5,2026-01-02 00:00:00
!!!,Luis123!!,usuario@sinpunto,Mouse Wireless,GRATIS,-1,ERROR
TXN-1204,Pedro,ana80@gmail.com,Laptop Pro,411.79,1,2026-01-15 00:00:00
TXN-1218,Ana,ana24@gmail.com,Mouse Wireless,638.81,2,2026-01-24 00:00:00
TXN-1083,Carlos,marta88@gmail.com,Mouse Wireless,63.18,5,2026-01-12 00:00:00
ERR-#18,Elena123!!,---,Laptop Pro,N/A,N/A,ERROR
TXN-1340,Marta,pedro15@gmail.com,Monitor 4K,599.69,4,2026-01-12 00:00:00
NULL,Luis123!!,usuario@sinpunto,Teclado Mecánico,0.00$, ,Ayer
NULL,Marta123!!,error_mail,Cable HDMI,BBDD_ERR,999999,MAÑANA
TXN-1315,Marta,carlos32@gmail.com,Teclado Mecánico,453.36,4,2026-01-28 00:00:00
TXN-1109,Ana,elena59@gmail.com,Headset Gamer,760.27,3,2026-01-28 00:00:00
TXN-1327,Maria,pedro75@gmail.com,Monitor 4K,746.08,2,2026-01-14 00:00:00
ERR-#89,Maria123!!,error_mail,Headset Gamer,GRATIS,N/A,MAÑANA
TXN-1437,Luis,elena57@gmail.com,Cable HDMI,81.57,5,2026-01-03 00:00:00
TXN-1305,Carlos,marta74@gmail.com,Cable HDMI,637.26,3,2026-01-16 00:00:00
ERR-#64,Carlos123!!,usuario@sinpunto,Cable HDMI,BBDD_ERR, ,2026-15-99
TXN-1118,Marta,carlos53@gmail.com,Cable HDMI,56.27,3,2026-01-03 00:00:00
TXN-1338,Marta,pedro73@gmail.com,Teclado Mecánico,672.21,2,2026-01-06 00:00:00
NULL,Pedro123!!,NaN,Teclado Mecánico,"999,99€",None,2026-15-99
TXN-1255,Juan,maria11@gmail.com,Teclado Mecánico,72.2,3,2026-01-18 00:00:00
TXN-1312,Carlos,juan34@gmail.com,Headset Gamer,734.64,2,2026-01-06 00:00:00
TXN-1075,Maria,carlos62@gmail.com,Monitor 4K,880.59,5,2026-01-10 00:00:00
TXN-1298,Juan,luis62@gmail.com,Headset Gamer,935.96,1,2026-01-04 00:00:00
ERR-#12,Elena123!!,12345,Laptop Pro,BBDD_ERR, ,Ayer
TXN-1259,Elena,pedro20@gmail.com,Headset Gamer,526.39,4,2026-01-22 00:00:00
NULL,Carlos123!!,---,Monitor 4K,0.00$,None,ERROR
!!!,Luis123!!,12345,Cable HDMI,"999,99€",N/A,2026-15-99
NULL,Pedro123!!,usuario@sinpunto,Cable HDMI,BBDD_ERR, ,ERROR
  ,Juan123!!,NaN,Monitor 4K,GRATIS,None,MAÑANA
  ,Ana123!!,NaN,Headset Gamer,BBDD_ERR,None,Ayer
ERR-#29,Elena123!!,NaN,Laptop Pro,0.00$, ,ERROR
TXN-1178,Elena,maria91@gmail.com,Cable HDMI,472.36,5,2026-01-10 00:00:00
TXN-1247,Juan,carlos39@gmail.com,Monitor 4K,275.28,2,2026-01-18 00:00:00
TXN-1275,Carlos,elena57@gmail.com,Cable HDMI,470.66,2,2026-01-19 00:00:00
TXN-1273,Ana,maria79@gmail.com,Monitor 4K,266.73,3,2026-01-31 00:00:00
NULL,Maria123!!,usuario@sinpunto,Headset Gamer,GRATIS,None,Ayer
TXN-1358,Maria,carlos86@gmail.com,Headset Gamer,971.63,1,2026-01-29 00:00:00
TXN-1031,Marta,marta62@gmail.com,Teclado Mecánico,500.3,3,2026-01-17 00:00:00
!!!,Juan123!!,usuario@sinpunto,Teclado Mecánico,GRATIS,N/A,ERROR
TXN-1473,Maria,carlos55@gmail.com,Headset Gamer,709.09,1,2026-01-13 00:00:00
!!!,Carlos123!!,usuario@sinpunto,Mouse Wireless,0.00$,N/A,2026-15-99
TXN-1441,Marta,luis95@gmail.com,Teclado Mecánico,732.84,3,2026-01-11 00:00:00
TXN-1092,Pedro,elena53@gmail.com,Mouse Wireless,80.68,4,2026-01-22 00:00:00
ERR-#7,Elena123!!,NaN,Cable HDMI,GRATIS, ,Ayer
  ,Pedro123!!,usuario@sinpunto,Teclado Mecánico,BBDD_ERR,-1,MAÑANA
NULL,Luis123!!,error_mail,Headset Gamer,N/A, ,ERROR
TXN-1145,Carlos,carlos95@gmail.com,Laptop Pro,755.99,5,2026-01-29 00:00:00
!!!,Juan123!!,usuario@sinpunto,Monitor 4K,GRATIS, ,00/00/0000
ERR-#37,Luis123!!,---,Laptop Pro,N/A,N/A,MAÑANA
ERR-#80,Carlos123!!,error_mail,Laptop Pro,GRATIS,None,00/00/0000
NULL,Ana123!!,usuario@sinpunto,Cable HDMI,GRATIS,N/A,ERROR
TXN-1223,Marta,juan57@gmail.com,Headset Gamer,632.55,2,2026-01-27 00:00:00
  ,Maria123!!,usuario@sinpunto,Cable HDMI,GRATIS, ,ERROR
  ,Pedro123!!,NaN,Mouse Wireless,N/A,None,2026-15-99
  ,Elena123!!,usuario@sinpunto,Teclado Mecánico,BBDD_ERR, ,MAÑANA
  ,Elena123!!,usuario@sinpunto,Monitor 4K,N/A, ,ERROR
!!!,Maria123!!,usuario@sinpunto,Cable HDMI,"999,99€",N/A,00/00/0000
TXN-1376,Ana,marta45@gmail.com,Laptop Pro,161.11,4,2026-01-25 00:00:00
TXN-1423,Luis,elena71@gmail.com,Headset Gamer,363.81,5,2026-01-29 00:00:00
TXN-1076,Maria,pedro49@gmail.com,Cable HDMI,463.33,3,2026-01-13 00:00:00
TXN-1300,Elena,elena97@gmail.com,Teclado Mecánico,276.48,4,2026-01-19 00:00:00
TXN-1011,Juan,marta14@gmail.com,Laptop Pro,367.08,3,2026-01-31 00:00:00
TXN-1045,Maria,juan87@gmail.com,Headset Gamer,189.59,4,2026-01-01 00:00:00
TXN-1304,Juan,maria55@gmail.com,Cable HDMI,313.05,3,2026-01-20 00:00:00
!!!,Ana123!!,usuario@sinpunto,Laptop Pro,"999,99€",999999,Ayer
  ,Elena123!!,NaN,Laptop Pro,0.00$,-1,2026-15-99
TXN-1454,Carlos,carlos80@gmail.com,Laptop Pro,746.67,1,2026-01-26 00:00:00
  ,Maria123!!,12345,Mouse Wireless,"999,99€",999999,2026-15-99
TXN-1377,Carlos,juan98@gmail.com,Monitor 4K,157.98,5,2026-01-01 00:00:00
ERR-#32,Luis123!!,---,Teclado Mecánico,BBDD_ERR,999999,2026-15-99
TXN-1024,Juan,pedro54@gmail.com,Teclado Mecánico,750.71,4,2026-01-20 00:00:00
!!!,Carlos123!!,usuario@sinpunto,Mouse Wireless,"999,99€",None,Ayer
!!!,Juan123!!,error_mail,Mouse Wireless,0.00$,N/A,MAÑANA
  ,Carlos123!!,12345,Teclado Mecánico,0.00$,999999,ERROR
ERR-#30,Luis123!!,error_mail,Mouse Wireless,"999,99€",999999,2026-15-99
TXN-1357,Juan,pedro80@gmail.com,Cable HDMI,226.84,1,2026-01-17 00:00:00
TXN-1046,Luis,ana38@gmail.com,Monitor 4K,803.2,4,2026-01-24 00:00:00
TXN-1159,Carlos,elena94@gmail.com,Mouse Wireless,395.85,5,2026-01-15 00:00:00
ERR-#49,Carlos123!!,---,Monitor 4K,0.00$,N/A,MAÑANA
TXN-1167,Ana,elena76@gmail.com,Mouse Wireless,999.22,2,2026-01-14 00:00:00
ERR-#10,Ana123!!,---,Mouse Wireless,N/A,999999,00/00/0000
TXN-1326,Maria,juan92@gmail.com,Laptop Pro,769.06,2,2026-01-06 00:00:00
  ,Carlos123!!,usuario@sinpunto,Mouse Wireless,"999,99€", ,ERROR
TXN-1001,Juan,luis41@gmail.com,Headset Gamer,220.15,4,2026-01-24 00:00:00
TXN-1032,Ana,marta21@gmail.com,Mouse Wireless,367.1,4,2026-01-09 00:00:00
TXN-1235,Maria,maria72@gmail.com,Cable HDMI,689.21,4,2026-01-26 00:00:00
TXN-1234,Marta,luis23@gmail.com,Monitor 4K,641.55,5,2026-01-20 00:00:00
!!!,Ana123!!,12345,Monitor 4K,0.00$,999999,00/00/0000
TXN-1071,Marta,pedro29@gmail.com,Cable HDMI,81.36,3,2026-01-15 00:00:00
,,,,,,
NULL,Ana123!!,12345,Headset Gamer,GRATIS,None,MAÑANA
TXN-1380,Maria,maria53@gmail.com,Cable HDMI,716.46,5,2026-01-20 00:00:00
TXN-1036,Maria,elena87@gmail.com,Mouse Wireless,317.22,4,2026-01-13 00:00:00
TXN-1061,Maria,juan16@gmail.com,Mouse Wireless,427.72,4,2026-01-14 00:00:00
TXN-1399,Ana,maria38@gmail.com,Mouse Wireless,217.76,4,2026-01-12 00:00:00
NULL,Elena123!!,usuario@sinpunto,Cable HDMI,N/A, ,MAÑANA
TXN-1329,Ana,juan66@gmail.com,Laptop Pro,575.04,1,2026-01-31 00:00:00
!!!,Ana123!!,---,Teclado Mecánico,0.00$,N/A,MAÑANA
TXN-1387,Maria,marta49@gmail.com,Teclado Mecánico,257.36,1,2026-01-09 00:00:00
  ,Carlos123!!,usuario@sinpunto,Laptop Pro,0.00$, ,MAÑANA
ERR-#96,Ana123!!,---,Cable HDMI,"999,99€",None,MAÑANA
NULL,Luis123!!,error_mail,Teclado Mecánico,BBDD_ERR,999999,ERROR
TXN-1457,Carlos,carlos11@gmail.com,Laptop Pro,931.41,1,2026-01-12 00:00:00
!!!,Juan123!!,12345,Teclado Mecánico,BBDD_ERR,999999,2026-15-99
TXN-1436,Ana,luis45@gmail.com,Monitor 4K,357.61,2,2026-01-03 00:00:00
TXN-1251,Juan,maria72@gmail.com,Monitor 4K,471.12,4,2026-01-05 00:00:00
TXN-1060,Marta,juan78@gmail.com,Laptop Pro,209.33,2,2026-01-08 00:00:00
TXN-1149,Pedro,maria36@gmail.com,Laptop Pro,488.3,1,2026-01-18 00:00:00
TXN-1201,Carlos,pedro88@gmail.com,Teclado Mecánico,85.29,5,2026-01-12 00:00:00
TXN-1395,Juan,marta94@gmail.com,Mouse Wireless,538.14,1,2026-01-03 00:00:00
,,,,,,
  ,Marta123!!,NaN,Teclado Mecánico,0.00$,-1,MAÑANA
TXN-1282,Elena,marta38@gmail.com,Headset Gamer,548.02,1,2026-01-29 00:00:00
TXN-1222,Ana,luis84@gmail.com,Mouse Wireless,68.87,4,2026-01-22 00:00:00
,,,,,,
,,,,,,
TXN-1468,Marta,maria95@gmail.com,Laptop Pro,515.43,1,2026-01-31 00:00:00
  ,Pedro123!!,usuario@sinpunto,Headset Gamer,"999,99€", ,MAÑANA
TXN-1392,Maria,luis75@gmail.com,Teclado Mecánico,989.08,5,2026-01-10 00:00:00
NULL,Elena123!!,usuario@sinpunto,Monitor 4K,BBDD_ERR,N/A,Ayer
  ,Pedro123!!,NaN,Cable HDMI,"999,99€", ,00/00/0000
NULL,Carlos123!!,12345,Teclado Mecánico,GRATIS,N/A,2026-15-99
NULL,Ana123!!,NaN,Mouse Wireless,BBDD_ERR,N/A,MAÑANA
,,,,,,
TXN-1028,Elena,maria71@gmail.com,Mouse Wireless,932.79,4,2026-01-04 00:00:00
TXN-1394,Juan,ana96@gmail.com,Mouse Wireless,605.86,2,2026-01-01 00:00:00
TXN-1174,Carlos,pedro21@gmail.com,Headset Gamer,551.52,1,2026-01-31 00:00:00
TXN-1144,Pedro,ana53@gmail.com,Cable HDMI,889.9,4,2026-01-23 00:00:00
ERR-#70,Marta123!!,12345,Monitor 4K,0.00$,N/A,MAÑANA
TXN-1205,Luis,elena40@gmail.com,Teclado Mecánico,753.45,5,2026-01-17 00:00:00
TXN-1094,Elena,marta68@gmail.com,Laptop Pro,722.8,2,2026-01-11 00:00:00
  ,Juan123!!,---,Cable HDMI,"999,99€",-1,00/00/0000
TXN-1435,Marta,pedro66@gmail.com,Laptop Pro,58.39,2,2026-01-08 00:00:00
,,,,,,
TXN-1292,Ana,ana89@gmail.com,Teclado Mecánico,389.47,4,2026-01-13 00:00:00
,,,,,,
NULL,Marta123!!,---,Monitor 4K,N/A,N/A,Ayer
!!!,Marta123!!,NaN,Laptop Pro,BBDD_ERR, ,Ayer
TXN-1186,Maria,juan97@gmail.com,Laptop Pro,55.83,3,2026-01-18 00:00:00
TXN-1400,Elena,pedro43@gmail.com,Teclado Mecánico,203.42,2,2026-01-17 00:00:00
TXN-1202,Marta,elena93@gmail.com,Laptop Pro,133.07,1,2026-01-20 00:00:00
ERR-#22,Elena123!!,error_mail,Mouse Wireless,GRATIS,-1,2026-15-99
ERR-#29,Juan123!!,usuario@sinpunto,Laptop Pro,BBDD_ERR,N/A,MAÑANA
  ,Juan123!!,usuario@sinpunto,Teclado Mecánico,GRATIS,N/A,00/00/0000
TXN-1025,Ana,maria46@gmail.com,Cable HDMI,935.54,3,2026-01-06 00:00:00
TXN-1388,Luis,marta87@gmail.com,Laptop Pro,319.66,1,2026-01-05 00:00:00
  ,Maria123!!,NaN,Cable HDMI,GRATIS,None,ERROR
TXN-1410,Luis,pedro98@gmail.com,Laptop Pro,338.03,5,2026-01-19 00:00:00
TXN-1084,Juan,luis14@gmail.com,Mouse Wireless,389.42,2,2026-01-21 00:00:00
  ,Ana123!!,usuario@sinpunto,Laptop Pro,GRATIS, ,ERROR
TXN-1176,Elena,pedro52@gmail.com,Teclado Mecánico,617.99,2,2026-01-06 00:00:00
TXN-1097,Luis,marta10@gmail.com,Monitor 4K,756.91,5,2026-01-01 00:00:00
!!!,Luis123!!,NaN,Mouse Wireless,"999,99€",999999,Ayer
TXN-1467,Pedro,maria22@gmail.com,Cable HDMI,818.28,2,2026-01-26 00:00:00
TXN-1322,Juan,ana49@gmail.com,Cable HDMI,720.71,2,2026-01-12 00:00:00
ERR-#70,Juan123!!,error_mail,Mouse Wireless,GRATIS,None,Ayer
TXN-1133,Marta,elena37@gmail.com,Headset Gamer,510.64,1,2026-01-24 00:00:00
TXN-1260,Pedro,ana45@gmail.com,Laptop Pro,102.08,3,2026-01-16 00:00:00
  ,Carlos123!!,usuario@sinpunto,Cable HDMI,BBDD_ERR,-1,2026-15-99
  ,Ana123!!,error_mail,Teclado Mecánico,GRATIS,None,MAÑANA
TXN-1113,Marta,carlos67@gmail.com,Mouse Wireless,942.1,5,2026-01-11 00:00:00
TXN-1453,Juan,ana81@gmail.com,Laptop Pro,698.86,3,2026-01-28 00:00:00
ERR-#15,Luis123!!,error_mail,Teclado Mecánico,BBDD_ERR, ,MAÑANA
TXN-1108,Ana,elena10@gmail.com,Teclado Mecánico,611.32,5,2026-01-20 00:00:00
NULL,Juan123!!,---,Cable HDMI,"999,99€", ,ERROR
TXN-1195,Luis,luis59@gmail.com,Monitor 4K,745.16,3,2026-01-09 00:00:00
TXN-1257,Ana,luis36@gmail.com,Teclado Mecánico,713.84,4,2026-01-15 00:00:00
  ,Ana123!!,usuario@sinpunto,Laptop Pro,"999,99€",-1,Ayer
TXN-1082,Luis,elena41@gmail.com,Laptop Pro,803.7,2,2026-01-17 00:00:00
TXN-1165,Carlos,pedro95@gmail.com,Teclado Mecánico,785.72,1,2026-01-26 00:00:00
TXN-1107,Pedro,carlos80@gmail.com,Mouse Wireless,135.9,5,2026-01-14 00:00:00
NULL,Marta123!!,NaN,Laptop Pro,0.00$,-1,Ayer
  ,Juan123!!,NaN,Headset Gamer,BBDD_ERR, ,2026-15-99
!!!,Pedro123!!,12345,Laptop Pro,0.00$,N/A,MAÑANA
!!!,Juan123!!,usuario@sinpunto,Cable HDMI,0.00$,N/A,00/00/0000
TXN-1475,Maria,maria43@gmail.com,Mouse Wireless,541.72,1,2026-01-24 00:00:00
TXN-1365,Maria,luis98@gmail.com,Cable HDMI,595.03,2,2026-01-06 00:00:00
